"id","age","race","sex","mar","ed","prvarrst","curcrim","crime","yrsent","depart","relyr","relmo","expgrp","sexint","paro","higrade","age1st","numarst","numconv","emp1","emp2","emp3","emp4","emp5","emp6","emp7","emp8","emp9","emp10","emp11","emp12","emp13","emp19","frstarrmo","frstarrday","frstarryr","frstcharge","arr2mo","arr2dy","arr2yr","arr3mo","arr3dy","arr3yr","arr4mo","arr4dy","arr4yr","arr5mo","arr5dy","arr5yr","arr6mo","arr6dy","arr6yr","crimper","crimprop","crimoth","numper","numprop","numoth","white","arstdate","reldate","arrstday","arrest","paroled","married","edcomb","fin","male","type","charge","arrstcount","spellnum","length","arrind","begin","end","prevlngth"
7441,30.5,1,1,2,6,13,1602,1601,3,1,76,6,2,1,0,7,13,28,8,11,11,1,1,1,1,1,1,1,1,1,1,1,1,9,1,76,2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,6088,5996,92,1,0,1,6,1,1,2,25,1,2,273,0,92,365,92
7450,23,1,1,1,12,1,NA,1702,6,4,76,6,5,1,1,12,17,9,1,11,6,1,1,1,1,1,1,1,1,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,5996,365,0,1,0,12,0,1,0,0,0,1,365,0,0,365,NA
7452,33.3,1,1,2,8,NA,71,72,0.5,3,76,6,5,1,1,8,22,15,4,1,3,1,1,1,3,1,1,1,3,33,3,33,6,3,20,77,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6288,5996,292,1,1,1,8,0,1,1,13,1,1,292,1,0,292,NA
7452,33.3,1,1,2,8,NA,71,72,0.5,3,76,6,5,1,1,8,22,15,4,1,3,1,1,1,3,1,1,1,3,33,3,33,6,3,20,77,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6288,5996,292,1,1,1,8,0,1,1,13,1,2,73,0,292,365,292
7453,19,2,1,1,11,NA,NA,1802,6,4,76,6,1,1,1,12,17,1,1,6,1,1,3,33,33,11,11,11,11,6,6,6,22,5,12,77,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6341,5996,345,1,1,0,11,1,1,2,22,1,1,345,1,0,345,NA
7453,19,2,1,1,11,NA,NA,1802,6,4,76,6,1,1,1,12,17,1,1,6,1,1,3,33,33,11,11,11,11,6,6,6,22,5,12,77,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6341,5996,345,1,1,0,11,1,1,2,22,1,2,20,0,345,365,345
7460,32.3,2,1,NA,NA,NA,NA,75,0.5,9,76,6,3,1,0,12,15,10,5,11,11,11,11,11,11,11,11,11,11,11,11,11,0,10,16,76,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6133,5996,137,1,NA,0,12,1,1,1,13,1,1,137,1,0,137,NA
7460,32.3,2,1,NA,NA,NA,NA,75,0.5,9,76,6,3,1,0,12,15,10,5,11,11,11,11,11,11,11,11,11,11,11,11,11,0,10,16,76,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6133,5996,137,1,NA,0,12,1,1,1,13,1,2,228,0,137,365,137
7461,31.1,1,1,2,12,2,NA,1701,4,9,76,6,2,1,0,10,16,10,2,11,11,11,11,12,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,NA,5996,365,0,NA,1,12,1,1,0,0,0,1,365,0,0,365,NA
7470,25.3,1,1,2,9,3,4011,4007,6,4,76,6,5,1,1,10,23,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,5996,365,0,1,1,9,0,1,0,0,0,1,365,0,0,365,NA
7472,18.4,2,1,1,9,NA,NA,1813,6,4,76,6,1,1,1,8,12,10,2,11,11,11,11,1,11,11,11,44,44,44,44,44,0,7,30,76,2399,9,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6055,5996,59,1,1,0,9,1,1,2,23,2,1,59,1,0,59,NA
7472,18.4,2,1,1,9,NA,NA,1813,6,4,76,6,1,1,1,8,12,10,2,11,11,11,11,1,11,11,11,44,44,44,44,44,0,7,30,76,2399,9,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6055,5996,59,1,1,0,9,1,1,2,23,2,2,48,1,59,107,59
7472,18.4,2,1,1,9,NA,NA,1813,6,4,76,6,1,1,1,8,12,10,2,11,11,11,11,1,11,11,11,44,44,44,44,44,0,7,30,76,2399,9,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6055,5996,59,1,1,0,9,1,1,2,23,2,3,258,0,107,365,48
7476,52.8,2,1,2,12,NA,71,72,0.5,9,76,6,5,1,0,12,24,12,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,5996,365,0,NA,1,12,0,1,0,0,0,1,365,0,0,365,NA
7478,28.7,1,1,2,12,NA,NA,52,0.5,9,76,6,5,1,1,12,28,3,1,1,1,1,1,11,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,5996,365,0,NA,1,12,0,1,0,0,0,1,365,0,0,365,NA
7480,52.5,1,1,NA,NA,NA,NA,11,0.5,9,76,6,2,1,0,7,38,57,5,11,11,11,11,11,11,11,11,11,11,11,44,11,44,6,9,76,3806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6004,5996,8,1,NA,0,7,1,1,1,38,1,1,8,1,0,8,NA
7480,52.5,1,1,NA,NA,NA,NA,11,0.5,9,76,6,2,1,0,7,38,57,5,11,11,11,11,11,11,11,11,11,11,11,44,11,44,6,9,76,3806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6004,5996,8,1,NA,0,7,1,1,1,38,1,2,357,0,8,365,8
7481,30,2,1,6,8,2,NA,72,0.5,9,76,6,2,1,0,8,17,10,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,1,76,4901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,6057,5996,61,1,NA,1,8,1,1,1,49,1,1,61,1,0,61,NA
